"","AG1","AG2","AG3"
"ES/5458/93",1.02053085671083,-1.03103212390363,-0.116195981712384
"MA/G101/93",-1.17572013102455,-0.0480130219641983,-2.86125111172865
"MA/G109/93",4.23188913342148,1.9463358632569,2.27101252547364
"MA/G116/93",0.280433748218182,0.0293232380076008,-3.79326436058505
"MA/G122/93",4.89007949526445,1.68419487613778,2.19120441972504
"MA/G130/93",4.4475783689826,4.32563069152763,0.32639313124299
"NL/3/93",3.37836681283399,2.07071432838545,1.40396361300776
"NL/17/93",2.83682608366057,3.01832812074468,0.14851177209792
"NL/101/93",3.143859373496,4.86276208368075,1.48109720901022
"NL/115/93",4.04137398382589,4.38059328112823,1.00854333160595
"NL/126/93",3.10691874713984,5.18761799541051,1.80297837979229
"NL/165/93",0.519976496747344,0.739341211805443,-4.66299881419879
"NL/179/93",4.13876799180145,2.49497169758522,0.569526681795059
"PA/287/93",0.223241702380657,-0.819980699054211,0.605255716697794
"SG/6/93",7.4799982517703,3.25173199725303,0.468743815343774
"YA/56/93",7.73842669546008,3.07804814605175,-0.283066854684356
"YA/61/93",7.70929109591645,4.79298871529676,-0.76329812376221
"YA/62/93",7.94996646052728,3.13761504816197,-0.577260261314735
"NL/399/93",5.9107058097633,-0.542675064232405,-0.838226138644488
"SD/9/93",6.36553611375906,3.48761460333297,-0.284677873405377
"LY/672/93",3.99489598014853,3.1456677261379,2.22294574042282
"LY/1803/93",4.06962307121209,3.53281080319606,1.67601940633442
"NL/357/93",4.85165562045639,2.91373118025893,1.13655447945226
"NL/371/93",3.99675078713347,2.20589638990182,3.69283032219561
"NL/372/93",4.13133583949965,-1.50354018654461,2.53402974526637
"NL/398/93",4.60478804680924,1.56842582440679,1.19739760707639
"NL/440/93",4.92252425582309,2.62844643890129,0.583191175046887
"OS/2219/93",5.37847547329994,1.77816851645519,1.9854374150005
"OS/2352/93",5.61299902938364,4.0926877446407,0.430758896682955
"ST/20/93",4.69859206559198,1.33842920021482,1.82291808922014
